0,0.3971,0.6667,2,0.1,0.6667,0.6,0.8333,0.975,0.191,0.8333,0.55,0.1683,0.7333,0.8333,2.0
1,0.3971,0.6667,1,0.9,1.0,1.0,0.6667,1.0,0.85,0.1317,0.4,0.146,0.6,0.8,2.0
2,0.34,0.3333,1,0.6,1.0,0.6,1.0,0.5,0.1305,0.6667,0.0742,0.1932,0.2111,0.8,4.0
3,0.397,0.6667,1,0.3,0.6667,0.6,0.6667,1.0,0.975,0.6667,0.775,0.1892,0.4667,0.4383,3.0
4,0.397,0.6667,1,1.0,0.6667,0.7,0.5,0.95,0.775,0.6667,0.875,0.1762,0.2889,0.8333,3.0
5,0.3971,0.6667,2,0.1,1.0,0.7,0.8333,1.0,0.8,1.0,0.8,0.55,0.4889,0.8333,2.0
6,0.3971,0.6667,1,0.4,1.0,1.0,0.8333,0.85,0.8,1.0,0.9,0.75,0.7556,0.8,1.0
7,0.397,0.6667,1,0.8,0.8333,0.6,0.6667,0.9,0.925,0.8333,0.475,0.775,0.3778,0.8,3.0
8,0.397,0.3333,1,0.8,0.8333,0.4,0.6667,0.575,0.1588,0.165,0.65,0.1815,0.2444,0.465,3.0
9,0.3971,0.6667,2,0.4,1.0,0.8,1.0,0.9,0.95,1.0,0.4,0.75,0.6,0.8,2.0
10,0.397,0.6667,1,0.1,0.6667,0.7,0.8333,0.95,0.6,0.1117,0.9,0.425,0.4778,1.0,3.0
11,0.397,0.6667,1,0.6,0.0,0.8,1.0,0.925,0.95,0.6667,0.775,0.225,0.5667,0.8,2.0
12,0.477,0.6667,1,0.5,0.0717,0.0,0.6667,0.45,0.275,0.6667,0.1,0.1707,0.5778,0.4733,3.0
13,0.397,0.3333,1,0.9,0.8333,1.0,0.8333,1.0,0.75,1.0,0.475,0.8,0.5778,0.8,2.0
14,0.3971,0.6667,1,0.4,0.8333,0.0,1.0,0.9,1.0,1.0,0.9,0.4,0.2778,0.8,2.0
15,0.3971,0.6667,1,0.7,1.0,0.8,1.0,0.9,0.5,0.6667,0.45,0.7,0.6,0.8,2.0
16,0.342,0.6667,1,0.3,0.0717,0.0,0.8333,0.85,0.875,0.1083,0.25,0.6,0.3778,0.8,4.0
17,0.397,0.6667,1,0.7,0.5,0.0,0.6667,0.9,0.4,0.3333,0.7,0.1772,0.3222,0.4583,3.0
18,0.3971,0.6667,2,0.9,1.0,1.0,1.0,0.85,0.4,0.6667,0.95,0.9,0.6667,0.8,1.0
19,0.397,0.6667,1,0.3,0.0883,0.4,0.6667,0.5,0.225,0.8333,0.825,0.5,0.4111,0.8,3.0
20,0.3971,0.6667,1,0.7,0.8333,0.8,0.8333,0.9,0.45,0.6667,0.95,0.85,0.4222,0.8,2.0
21,0.3971,0.6667,1,1.0,1.0,0.6,0.1667,0.1083,0.775,0.1517,0.6,0.17,0.4889,0.5,3.0
22,0.397,0.6667,1,0.3,1.0,0.4,0.8333,0.6,0.1895,0.6667,0.0572,0.196,0.4111,0.4633,3.0
23,0.397,0.6667,1,0.9,0.115,0.8,0.2317,0.1163,0.1758,0.1816,0.0527,0.1825,0.4667,0.4467,3.0
24,0.3971,0.6667,2,1.0,0.6667,0.0,1.0,1.0,0.425,0.5,0.525,0.45,0.6111,0.8333,2.0
25,0.3971,0.6667,1,0.3,1.0,0.6,0.8333,0.9,0.3,0.6667,0.9,0.4,0.6778,0.8,2.0
26,0.3484,0.6667,1,0.9,1.0,0.8,0.6667,0.8,0.8,1.0,0.75,0.95,0.5111,0.8,2.0
27,0.3971,0.6667,2,0.1,0.6667,0.8,0.8333,0.9,0.775,0.8333,0.975,0.55,0.4889,0.8333,2.0
28,0.3971,0.6667,1,0.5,0.8333,0.8,0.8333,1.0,0.8,0.6667,0.9,0.45,0.4778,0.8,2.0
29,0.3971,0.6667,1,0.5,0.6667,0.8,1.0,1.0,0.775,0.6667,0.85,0.4,0.3556,0.8,3.0
30,0.3971,0.6667,2,0.6,1.0,1.0,1.0,0.925,0.925,0.8333,0.9,0.9,0.8778,0.8,1.0
31,0.397,0.6667,1,1.0,1.0,0.7,0.6667,1.0,0.3,0.8333,0.4,0.45,0.3222,1.0,3.0
