2,4,5,8,10,11,15
0.6667,0.1,0.6667,0.975,0.8333,0.55,2.0
0.6667,0.9,1.0,1.0,0.0983,0.4,2.0
0.3333,0.6,1.0,0.5,0.6667,0.065,4.0
0.6667,0.3,0.6667,1.0,0.6667,0.775,3.0
0.6667,1.0,0.6667,0.95,0.6667,0.875,3.0
0.6667,0.1,1.0,1.0,1.0,0.8,2.0
0.6667,0.4,1.0,0.85,1.0,0.9,1.0
0.6667,0.8,0.8333,0.9,0.8333,0.475,3.0
0.3333,0.8,0.8333,0.575,0.18,0.65,3.0
0.6667,0.4,1.0,0.9,1.0,0.4,2.0
0.6667,0.1,0.6667,0.95,0.1167,0.9,3.0
0.6667,0.6,0.0,0.925,0.6667,0.775,2.0
0.6667,0.5,0.0533,0.45,0.6667,0.1,3.0
0.3333,0.9,0.8333,1.0,1.0,0.475,2.0
0.6667,0.4,0.8333,0.9,1.0,0.9,2.0
0.6667,0.7,1.0,0.9,0.6667,0.45,2.0
0.6667,0.3,0.095,0.85,0.1167,0.25,4.0
0.6667,0.7,0.5,0.9,0.3333,0.7,3.0
0.6667,0.9,1.0,0.85,0.6667,0.95,1.0
0.6667,0.3,0.0767,0.5,0.8333,0.825,3.0
0.6667,0.7,0.8333,0.9,0.6667,0.95,2.0
0.6667,1.0,1.0,0.0928,0.12,0.6,3.0
0.6667,0.3,1.0,0.6,0.6667,0.0555,3.0
0.6667,0.9,0.1017,0.0992,0.1733,0.054,3.0
0.6667,1.0,0.6667,1.0,0.5,0.525,2.0
0.6667,0.3,1.0,0.9,0.6667,0.9,2.0
0.6667,0.9,1.0,0.8,1.0,0.75,2.0
0.6667,0.1,0.6667,0.9,0.8333,0.975,2.0
0.6667,0.5,0.8333,1.0,0.6667,0.9,2.0
0.6667,0.5,0.6667,1.0,0.6667,0.85,3.0
0.6667,0.6,1.0,0.925,0.8333,0.9,1.0
0.6667,1.0,1.0,1.0,0.8333,0.4,3.0
0.6667,0.9,1.0,0.8,1.0,0.575,2.0
0.6667,1.0,1.0,1.0,0.8333,0.925,2.0
0.3333,0.4,0.5,0.95,1.0,1.0,4.0
0.6667,0.1,0.6667,0.925,0.8333,0.825,1.0
0.6667,1.0,0.8333,0.55,1.0,0.056,2.0
0.3333,0.7,0.5,0.0,0.12,0.425,4.0
0.3333,0.6,0.6667,0.875,0.6667,0.825,3.0
0.3333,0.7,0.3333,0.9,1.0,0.8,3.0
0.3333,0.5,1.0,1.0,0.0,0.475,4.0
0.3333,0.5,0.8333,1.0,0.8333,0.9,1.0
0.3333,0.8,1.0,0.975,0.13,0.063,4.0
0.6667,0.2,1.0,0.925,0.1133,0.825,4.0
0.3333,0.8,0.8333,0.95,0.6667,0.6,1.0
0.3333,1.0,1.0,0.425,0.6667,0.9,2.0
1.0,1.0,1.0,0.675,0.1267,0.0545,4.0
0.3333,0.3,0.085,0.95,0.6667,0.725,3.0
0.6667,0.6,0.1333,0.0998,0.16,0.0585,4.0
0.3333,1.0,0.6667,1.0,0.8333,0.525,3.0
0.3333,0.8,1.0,0.85,0.6667,0.325,3.0
0.3333,0.7,1.0,0.9,1.0,0.575,3.0
0.3333,0.8,0.6667,0.825,0.6667,0.25,3.0
0.6667,1.0,0.6667,0.95,0.8333,0.8,3.0
0.6667,0.6,1.0,0.925,0.1167,0.15,4.0
0.3333,0.2,1.0,0.098,0.6667,0.0622,4.0
0.3333,0.105,0.135,0.037,0.1733,0.063,1.0
0.3333,0.7,0.8333,0.9,0.3333,0.062,3.0
0.3333,0.5,1.0,0.9,0.3333,0.0587,3.0
0.3333,0.7,0.185,0.087,0.17,0.065,4.0
0.3333,0.1,0.6667,1.0,1.0,0.825,1.0
0.3333,0.5,1.0,0.8,0.6667,0.4,3.0
0.3333,0.4,0.1333,0.0,0.1567,0.062,4.0
0.3333,0.5,1.0,1.0,0.8333,0.4,3.0
0.3333,0.2,1.0,0.525,0.1167,0.061,4.0
0.3333,0.105,0.135,0.037,0.1733,0.063,1.0
0.3333,0.3,0.5,0.9,0.5,0.15,3.0
0.3333,1.0,0.8333,0.9,1.0,0.7,2.0
0.3333,0.9,1.0,0.85,1.0,0.25,3.0
0.3333,0.4,0.0,0.9,1.0,0.3,3.0
0.3333,0.2,0.1333,0.425,0.5,0.0557,4.0
0.3333,0.2,1.0,0.95,0.6667,0.275,3.0
0.3333,0.4,0.8333,0.95,1.0,0.0627,3.0
0.3333,0.9,1.0,0.85,1.0,0.425,3.0
0.3333,1.0,0.6667,0.7,0.3333,0.0605,4.0
0.3333,1.0,0.18,0.975,0.8333,0.0615,4.0
0.3333,0.1,0.6667,0.725,0.8333,0.65,4.0
0.3333,0.1,0.6667,0.35,0.5,0.2,4.0
0.3333,0.4,0.5,0.9,1.0,0.475,3.0
0.3333,0.9,0.185,0.0,0.6667,0.0637,4.0
0.3333,0.8,1.0,0.95,0.8333,0.775,3.0
0.3333,0.7,1.0,0.9,1.0,0.475,1.0
0.3333,0.5,0.6667,0.95,0.6667,0.425,3.0
0.3333,0.105,0.135,0.037,0.1733,0.063,1.0
0.3333,0.7,0.3333,0.85,1.0,0.325,3.0
