COMP1111 More Computing  Sorted on student ID                                                            18 May 92  10:34:12  Page 1
------------------------------------------------------------------------------------------------------------------------------------
Regno   Crse/Prog S ES   Tutgroup L      lab4      h2        p1        mid       final
                                       tutass    h1        lab7      f1        lab10     
                                    3    5    3   20   20    3   20   20   45    3   100 
-----------------------------------------------------------------------------------------
0272429 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
0272642 3400      1 F    T7-ko      2.5  2    2.5 18    .    1    .   11   23    2.4 55  
0272672 3400      1 F    T5-ku      3    0    3   18    .    1    .    .   23.5  2   53  
0272879 3400      1 F    T7-ko      .    0    .    .    .    .    .    .    7    .   16  
0273169 3972/1060 1 F    T1-yh      2    3    3   20   19.5  3   16.5 14   33.5  2.5 80  
0273476 3400      1 F    T5-ku      3    4    3   16    .    2    8   11   16    2.4 55  
0273734 3400      1 F    T4-ko      .    3    1    0    .    .    .    .    6    .   15  
0273766 3420      1 F    T5-ku      3    2    3   20    6.5  2.5  8    9   13    2.4 52  
0274425 3420      1 F    T2-no      3    3    1   10.5  .    .    .    .    7.5  .   19  
0274599 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
0274948 3972/6817 1 F    T3-ku      1.5  4    2   18    5.5  1.5  3    .   17.5  2.4 60  
0275000 3400      1 F    T10-yh     2.5  3    3   18    4.5  3   14   18.5 24    2.5 68  
0275105 3420      1 F    T9-ko      3    4    2.5 17   17    3    5   14   10    2.4 56  
0275139 3420      1 F    T4-ko      0    5    2.5 18   17    3    6   10   28    2.4 57  
0275164 3400      1 F    T2-no      .    3    1.5  8.5  .    1.5  .    .   10.2  2.4 44  
0275279 3420      1 F    T2-no      3    3    .   19   18    2    5.5  4   20    2.4 60  
0275282 3400      1 F    T4-ko      2.5  3    3   19    .    3    .   10   16    2.4 51  
0275298 3400      1 F    T9-ko      3    5    2.5 17   18    3    8.5 18   21    2.4 61  
0275315 3420      1 F    T10-yh     2    3    0.5 14    .    1    .    .    7    2   26  
0275567 3400      1 F    T10-yh     .    3.5  2.5 19.5  .    2.5  .    .   11.5  .   36  
0275607 3420      1 F    T1-yh      2    3    3   14.5  .    2.5 13    9    8.5  1.5 39  
0275813 3400      1 F    T1-yh      2    3.5  1.5  7    .    1.5  4    .   12.5  2.5 42  
0275815 3970/1060 1 F    T4-ko      1.5  4    2.5 18    8.5  3    9.5 15   17    2.4 58  
0275824 3420      1 F    T9-ko      .    3    1    0    .    2    .    .    4    .   25  
0275914 3970/0100 1 F    T8-no      3    3    2.5 19   15.5  2.5 15.5 10.5 14.5  2.4 54  
0275965 4760      1 F    T7-ko      3    5    3   18   18.5  3    9.5  0   40    2.4 77  
0275968 3400      1 F    T5-ku      2    2    2   19   11    2    8.5  8   17    2.4 55  
0276002 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
0276182 3970/1060 1 F    T7-ko      1    5    2   17   16    3    6.5 18    9.5  2.4 57  
0276210 3420      1 F    T5-ku      2    3    2.5 18   10.5  2.5 16    5   15    2.4 55  
0276349 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
0276381 3400      1 FL   T5-ku      2    3    2   19   12    2    9.5  8   24.5  2.4 59  
0276384 3420      1 F    T2-no      3    3    .   18   18    0   13.5  8.5 16    2.4 53  
0276676 3400      1 F    T7-ko      3    4    .   18    .    .    .    .   26    .   31  
0276839 4075/1058 1 F    T6-no      .    2    .   16.5  .    .    .    .   29    .   29  
0276876 3970/1000 1 F    T5-ku      2    3    2.5 20   13    2   10.5 16   25    2.4 69  
0277425 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
0277436 3400      1 F    T1-yh      2    3    3   15.5 18.5  2.5 18.5 11   17.5  2.5 61  
0277439 3970/1060 1 F    T8-no      2.5  3    2.5 19   16    2   13   13.5 29    2.4 75  
0277539 3400      1 F    T10-yh     2.5  3    1.5 18   16    2.5 13   11   21.5  2.5 61  
0277580 3970/1000 1 F    T3-ku      .    4    2   18    .    1.5  0    .   18    2.4 56  
0277625 3420      1 F    T9-ko      3    1    .    .    .    .    .    .    6    .    8  
0277635 3400      1 F    T1-yh      2    2    .    .    .    .    .    .   25    .   24  
0277791 3400      1 F    T5-ku      2    4    3   20    2.5  2.5 13    3   22    2.4 61  
0277926 3420      1 F    T4-ko      3    3    2   20    8    3   11.5 10   26    2.4 58  
